Host,Parasite,Weight
ENSG00000175416,PBANKA_144710,5
ENSG00000213928,PBANKA_144710,5
ENSG00000196419,PBANKA_144710,5
ENSG00000158019,PBANKA_144710,5
ENSG00000116691,PBANKA_144710,5
ENSG00000244045,PBANKA_144710,5
ENSG00000161036,PBANKA_144710,5
ENSG00000018280,PBANKA_144710,5
ENSG00000149923,PBANKA_144710,5
ENSG00000143552,PBANKA_144800,5
ENSG00000068120,PBANKA_144810,5
ENSG00000105401,PBANKA_144850,5
ENSG00000067836,PBANKA_144850,5
ENSG00000239474,PBANKA_144980,5
ENSG00000185105,PBANKA_144980,5
ENSG00000173264,PBANKA_145040,5
ENSG00000177732,PBANKA_145120,5
ENSG00000261221,PBANKA_145120,5
ENSG00000166527,PBANKA_145120,5
ENSG00000132361,PBANKA_145190,5
ENSG00000169609,PBANKA_145210,5
ENSG00000105401,PBANKA_145210,5
ENSG00000139180,PBANKA_145210,5
ENSG00000120533,PBANKA_145250,5
ENSG00000185105,PBANKA_145270,5
ENSG00000160051,PBANKA_145290,5
ENSG00000178814,PBANKA_145290,5
ENSG00000132361,PBANKA_145290,5
ENSG00000123064,PBANKA_145290,5
ENSG00000125531,PBANKA_145290,5
ENSG00000185614,PBANKA_145390,5
ENSG00000132361,PBANKA_145390,5
ENSG00000159792,PBANKA_145390,5
ENSG00000123610,PBANKA_145440,5
ENSG00000159792,PBANKA_145470,5
ENSG00000123064,PBANKA_145470,5
ENSG00000129197,PBANKA_145520,5
ENSG00000130159,PBANKA_145520,5
ENSG00000169814,PBANKA_145520,5
ENSG00000161016,PBANKA_145520,5
ENSG00000141698,PBANKA_145520,5
ENSG00000117479,PBANKA_145580,5
ENSG00000136770,PBANKA_145610,5
ENSG00000136770,PBANKA_145620,5
ENSG00000185105,PBANKA_145640,5
ENSG00000053372,PBANKA_145670,5
ENSG00000166527,PBANKA_145670,5
ENSG00000107672,PBANKA_145670,5
ENSG00000177732,PBANKA_145770,5
ENSG00000204576,PBANKA_145770,5
ENSG00000188162,PBANKA_145790,5
ENSG00000179071,PBANKA_145790,5
ENSG00000161533,PBANKA_145800,5
ENSG00000152766,PBANKA_145800,5
ENSG00000083750,PBANKA_145800,5
ENSG00000126759,PBANKA_145800,5
ENSG00000123064,PBANKA_145820,5
ENSG00000104946,PBANKA_145850,5
ENSG00000083750,PBANKA_145970,5
ENSG00000160712,PBANKA_146080,5
ENSG00000131069,PBANKA_146110,5
ENSG00000105401,PBANKA_146110,5
ENSG00000083750,PBANKA_146160,5
ENSG00000129197,PBANKA_146200,5
ENSG00000182552,PBANKA_146200,5
ENSG00000185105,PBANKA_146250,5
ENSG00000139180,PBANKA_146270,5
ENSG00000103160,PBANKA_146280,5
ENSG00000185105,PBANKA_146280,5
ENSG00000101457,PBANKA_146310,5
ENSG00000092010,PBANKA_146310,5
ENSG00000161016,PBANKA_146350,5
ENSG00000115307,PBANKA_146350,5
ENSG00000136770,PBANKA_146360,5
ENSG00000152766,PBANKA_146450,5
ENSG00000168301,PBANKA_146460,5
ENSG00000184840,PBANKA_146460,5
ENSG00000161016,PBANKA_146460,5
ENSG00000129219,PBANKA_146470,5
ENSG00000136770,PBANKA_090120,5
ENSG00000149782,PBANKA_090220,5
ENSG00000132361,PBANKA_090220,5
ENSG00000123064,PBANKA_090220,5
ENSG00000177427,PBANKA_090330,5
ENSG00000129219,PBANKA_090350,5
ENSG00000132361,PBANKA_090530,5
ENSG00000123064,PBANKA_090530,5
ENSG00000105401,PBANKA_090570,5
ENSG00000166685,PBANKA_090570,5
ENSG00000110719,PBANKA_090570,5
ENSG00000149782,PBANKA_090580,5
ENSG00000198851,PBANKA_090580,5
ENSG00000136770,PBANKA_090640,5
ENSG00000172354,PBANKA_090660,5
ENSG00000092010,PBANKA_090660,5
ENSG00000173991,PBANKA_090680,5
ENSG00000227500,PBANKA_090680,5
ENSG00000197136,PBANKA_090680,5
ENSG00000169609,PBANKA_090690,5
ENSG00000123610,PBANKA_090690,5
ENSG00000125531,PBANKA_090700,5
ENSG00000173991,PBANKA_090750,5
